TF	Gene
TFAP2C	TCTEX1D2
TFAP2C	TCIRG1
TFAP2C	TCEA2
TFAP2C	TBX2
TFAP2C	TBP
TFAP2C	TBL1XR1
TFAP2C	TBL1X
TFAP2C	TBCE
TFAP2C	TBC1D8
TFAP2C	TBC1D5
TFAP2C	TBC1D4
TFAP2C	TBC1D17
TFAP2C	TBC1D10C
TFAP2C	TAZ
TFAP2C	TAS1R3
TFAP2C	TARSL2
TFAP2C	TARS
TFAP2C	TARBP2
TFAP2C	TAPBP
TFAP2C	TAP1
TFAP2C	TAOK3
TFAP2C	TAGLN3
TFAP2C	TAF4B
TFAP2C	TAF4
TFAP2C	TAF11
TFAP2C	TADA2A
TFAP2C	TADA1
TFAP2C	TACO1
TFAP2C	TAB2
TFAP2C	SYT3
TFAP2C	SYNPO
TFAP2C	SYNGR3
TFAP2C	SYNC
TFAP2C	SYCE1L
TFAP2C	SYAP1
TFAP2C	SWT1
TFAP2C	SWAP70
TFAP2C	SUPT7L
TFAP2C	SUMO3
TFAP2C	SULT1A4
TFAP2C	SULT1A3
TFAP2C	SULT1A2
TFAP2C	SULT1A1
TFAP2C	SUFU
TFAP2C	SUCLG2
TFAP2C	SUCLA2
TFAP2C	STXBP1
TFAP2C	STX4
TFAP2C	STX10
TFAP2C	STOX1
TFAP2C	STK10
TFAP2C	STC1
TFAP2C	STAU1
TFAP2C	STARD4
TFAP2C	STAG3L3
TFAP2C	STAG3L2
TFAP2C	STAG3L1
TFAP2C	ST8SIA3
TFAP2C	ST8SIA2
TFAP2C	ST7-OT4
TFAP2C	ST7
TFAP2C	ST6GALNAC2
TFAP2C	ST3GAL4
TFAP2C	SSSCA1
TFAP2C	SSH3
TFAP2C	SSH1
TFAP2C	SSBP4
TFAP2C	SSBP2
TFAP2C	SRSF4
TFAP2C	SRPK2
TFAP2C	SRP72
TFAP2C	SRGAP1
TFAP2C	SRF
TFAP2C	SREBF1
TFAP2C	SRD5A1
TFAP2C	SRCIN1
TFAP2C	SPSB2
TFAP2C	SPRED2
TFAP2C	SPOP
TFAP2C	SPON2
TFAP2C	SPOCK1
TFAP2C	SPNS1
TFAP2C	SPIRE2
TFAP2C	SPIRE1
TFAP2C	SPHK2
TFAP2C	SPHK1
TFAP2C	SPG20OS
TFAP2C	SPG20
TFAP2C	SPECC1L
TFAP2C	SPECC1
TFAP2C	SPATA12
TFAP2C	SPAG4
TFAP2C	SP5
TFAP2C	SOX15
TFAP2C	SOX12
TFAP2C	SOBP
TFAP2C	SNX5
TFAP2C	SNRPE
TFAP2C	SNRNP70
TFAP2C	SNORD96A
TFAP2C	SNORD95
TFAP2C	SNORD88C
TFAP2C	SNORD84
TFAP2C	SNORD124
TFAP2C	SNORA74A
TFAP2C	SNORA70
TFAP2C	SNORA65
TFAP2C	SNORA64
TFAP2C	SNORA37
TFAP2C	SNORA31
TFAP2C	SNORA10
TFAP2C	SNHG4
TFAP2C	SNCAIP
TFAP2C	SNAPC3
TFAP2C	SNAP25
TFAP2C	SMTN
TFAP2C	SMG9
TFAP2C	SMG7
TFAP2C	SMG1
TFAP2C	SMCR8
TFAP2C	SMCR7
TFAP2C	SMCR5
TFAP2C	SMCHD1
TFAP2C	SMC1A
TFAP2C	SMARCD2
TFAP2C	SMARCC1
TFAP2C	SMAD6
TFAP2C	SLX1B-SULT1A4
TFAP2C	SLX1B
TFAP2C	SLX1A-SULT1A3
TFAP2C	SLX1A
TFAP2C	SLMO1
TFAP2C	SLIT2
TFAP2C	SLC9A3R2
TFAP2C	SLC7A7
TFAP2C	SLC7A5
TFAP2C	SLC7A2
TFAP2C	SLC7A10
TFAP2C	SLC6A9
TFAP2C	SLC6A10P
TFAP2C	SLC5A6
TFAP2C	SLC4A8
TFAP2C	SLC4A2
TFAP2C	SLC47A2
TFAP2C	SLC44A1
TFAP2C	SLC43A1
TFAP2C	SLC39A6
TFAP2C	SLC38A2
TFAP2C	SLC35G6
TFAP2C	SLC35E2B
TFAP2C	SLC35E2
TFAP2C	SLC35C2
TFAP2C	SLC35B3
TFAP2C	SLC30A9
TFAP2C	SLC2A8
TFAP2C	SLC2A4RG
TFAP2C	SLC29A2
TFAP2C	SLC29A1
TFAP2C	SLC28A3
TFAP2C	SLC27A3
TFAP2C	SLC25A42
TFAP2C	SLC25A38
TFAP2C	SLC25A36
TFAP2C	SLC25A28
TFAP2C	SLC25A13
TFAP2C	SLC25A10
TFAP2C	SLC20A1
TFAP2C	SLC1A5
TFAP2C	SLC17A7
TFAP2C	SLC16A6
TFAP2C	SLC16A5
TFAP2C	SLC16A3
TFAP2C	SLC16A1
TFAP2C	SLC12A3
TFAP2C	SLC12A2
TFAP2C	SLC11A2
TFAP2C	SLC10A3
TFAP2C	SKA2
TFAP2C	SIX5
TFAP2C	SIRPA
TFAP2C	SIPA1L3
TFAP2C	SIPA1
TFAP2C	SIN3A
TFAP2C	SIM2
TFAP2C	SIK1
TFAP2C	SHMT2
TFAP2C	SHMT1
TFAP2C	SHISA8
TFAP2C	SHISA5
TFAP2C	SHCBP1
TFAP2C	SHBG
TFAP2C	SHB
TFAP2C	SHARPIN
TFAP2C	SH3GLB2
TFAP2C	SH2D4A
TFAP2C	SH2D3A
TFAP2C	SH2B3
TFAP2C	SGTB
TFAP2C	SGSM2
TFAP2C	SGMS1
TFAP2C	SGK3
TFAP2C	SGK1
TFAP2C	SFXN5
TFAP2C	SFXN2
TFAP2C	SFTPC
TFAP2C	SFRP2
TFAP2C	SFMBT1
TFAP2C	SF3B4
TFAP2C	SF3B2
TFAP2C	SF3A2
TFAP2C	SETD9
TFAP2C	SETD5
TFAP2C	SETD4
TFAP2C	SETD3
TFAP2C	SETD1B
TFAP2C	SESTD1
TFAP2C	SESN1
TFAP2C	SERPINI1
TFAP2C	SERPINE1
TFAP2C	8-Sep
TFAP2C	6-Sep
TFAP2C	SEPT5-GP1BB
TFAP2C	5-Sep
TFAP2C	15-Sep
TFAP2C	SENP8
TFAP2C	SEMA6C
TFAP2C	SEMA6A
TFAP2C	SEMA5B
TFAP2C	SEMA4B
TFAP2C	SEMA3F
TFAP2C	SEMA3B
TFAP2C	SEH1L
TFAP2C	SEC22C
TFAP2C	SEC22B
TFAP2C	SDK2
TFAP2C	SDF2L1
TFAP2C	SDC4
TFAP2C	SDC1
TFAP2C	SDAD1
TFAP2C	SCXB
TFAP2C	SCXA
TFAP2C	SCRIB
TFAP2C	SCN1A
TFAP2C	SCCPDH
TFAP2C	SCARB1
TFAP2C	SCAND1
TFAP2C	SCAMP2
TFAP2C	SCAF8
TFAP2C	SATB2
TFAP2C	SASH1
TFAP2C	SARS
TFAP2C	SAP30L
TFAP2C	SAMHD1
TFAP2C	SAMD8
TFAP2C	SAMD13
TFAP2C	SAMD10
TFAP2C	SAMD1
TFAP2C	S1PR4
TFAP2C	S100PBP
TFAP2C	S100P
TFAP2C	S100A6
TFAP2C	S100A11
TFAP2C	RUVBL2
TFAP2C	RUSC2
TFAP2C	RUSC1-AS1
TFAP2C	RUSC1
TFAP2C	RUNX1
TFAP2C	RUNDC3B
TFAP2C	RTTN
TFAP2C	RSG1
TFAP2C	RSAD1
TFAP2C	RRP8
TFAP2C	RRM2B
TFAP2C	RRM2
TFAP2C	RRBP1
TFAP2C	RRAS
TFAP2C	RRAD
TFAP2C	RPUSD2
TFAP2C	RPS6KA4
TFAP2C	RPS6KA2
TFAP2C	RPS6KA1
TFAP2C	RPS25
TFAP2C	RPS2
TFAP2C	RPS16
TFAP2C	RPS10-NUDT3
TFAP2C	RPS10
TFAP2C	RPP25
TFAP2C	RPL7
TFAP2C	RPL36A-HNRNPH2
TFAP2C	RPL36A
TFAP2C	RPL12
TFAP2C	RPL10
TFAP2C	RP1L1
TFAP2C	RNU6ATAC
TFAP2C	RNPEPL1
TFAP2C	RNFT1
TFAP2C	RNF25
TFAP2C	RNF2
TFAP2C	RNF168
TFAP2C	RNF145
TFAP2C	RNF14
TFAP2C	RNF13
TFAP2C	RNF11
TFAP2C	RND2
TFAP2C	RLF
TFAP2C	RIOK3
TFAP2C	RIMS4
TFAP2C	RIMS3
TFAP2C	RIMKLB
TFAP2C	RILPL1
TFAP2C	RIF1
TFAP2C	RIBC1
TFAP2C	RHPN2
TFAP2C	RHOV
TFAP2C	RHOF
TFAP2C	RHOB
TFAP2C	RHEBL1
TFAP2C	RGS7BP
TFAP2C	RGS2
TFAP2C	RGNEF
TFAP2C	RGMA
TFAP2C	RGL1
TFAP2C	RFX7
TFAP2C	RFX1
TFAP2C	RFWD3
TFAP2C	REST
TFAP2C	RERE
TFAP2C	REPIN1
TFAP2C	RELT
TFAP2C	RELB
TFAP2C	REL
TFAP2C	RCOR2
TFAP2C	RC3H2
TFAP2C	RBM5
TFAP2C	RBM4
TFAP2C	RBM34
TFAP2C	RBM27
TFAP2C	RBM15
TFAP2C	RBL2
TFAP2C	RASSF8
TFAP2C	RASSF3
TFAP2C	RASSF1
TFAP2C	RASIP1
TFAP2C	RARA
TFAP2C	RAPGEF6
TFAP2C	RANBP10
TFAP2C	RALB
TFAP2C	RAI14
TFAP2C	RAET1E
TFAP2C	RAD52
TFAP2C	RAD50
TFAP2C	RAD18
TFAP2C	RABEP1
TFAP2C	RAB7A
TFAP2C	RAB5B
TFAP2C	RAB4B-EGLN2
TFAP2C	RAB4B
TFAP2C	RAB31
TFAP2C	RAB24
TFAP2C	RAB11FIP3
TFAP2C	RAB10
TFAP2C	R3HCC1L
TFAP2C	PYROXD2
TFAP2C	PYGO1
TFAP2C	PYGL
TFAP2C	PXMP4
TFAP2C	PXMP2
TFAP2C	PWWP2B
TFAP2C	PUSL1
TFAP2C	PTTG1IP
TFAP2C	PTPN3
TFAP2C	PTPLB
TFAP2C	PTP4A2
TFAP2C	PTMA
TFAP2C	PTK6
TFAP2C	PTH1R
TFAP2C	PTGS2
TFAP2C	PTGES3
TFAP2C	PTGES2
TFAP2C	PTGER4
TFAP2C	PTEN
TFAP2C	PTDSS2
TFAP2C	PTCH1
TFAP2C	PTBP1
TFAP2C	PTAR1
TFAP2C	PTAFR
TFAP2C	PSME2
TFAP2C	PSMD5
TFAP2C	PSMB9
TFAP2C	PSMA7
TFAP2C	PSCA
TFAP2C	PRRT3
TFAP2C	PRRT1
TFAP2C	PRRC1
TFAP2C	PRR15
TFAP2C	PRR14
TFAP2C	PRPF6
TFAP2C	PRPF40A
TFAP2C	PRPF4
TFAP2C	PRPF18
TFAP2C	PRKDC
TFAP2C	PRKD2
TFAP2C	PRKCI
TFAP2C	PRKCDBP
TFAP2C	PRKAB2
TFAP2C	PRIM2
TFAP2C	PRICKLE4
TFAP2C	PRELID1
TFAP2C	PRDX3
TFAP2C	PRDM4
TFAP2C	PRDM12
TFAP2C	PRDM11
TFAP2C	PRCD
TFAP2C	PRCC
TFAP2C	PRC1
TFAP2C	PQLC3
TFAP2C	PPT2-EGFL8
TFAP2C	PPT2
TFAP2C	PPP6C
TFAP2C	PPP4R1L
TFAP2C	PPP2R5B
TFAP2C	PPP2R5A
TFAP2C	PPP1R3G
TFAP2C	PPP1R3C
TFAP2C	PPP1R16B
TFAP2C	PPP1R15B
TFAP2C	PPP1R15A
TFAP2C	PPP1R13L
TFAP2C	PPP1R12C
TFAP2C	PPP1CA
TFAP2C	PPM1K
TFAP2C	PPM1J
TFAP2C	PPM1G
TFAP2C	PPM1F
TFAP2C	PPM1D
TFAP2C	PPL
TFAP2C	PPIA
TFAP2C	PPAT
TFAP2C	PPARGC1B
TFAP2C	PP7080
TFAP2C	POU5F1
TFAP2C	POU2F3
TFAP2C	POLR2L
TFAP2C	POLR2K
TFAP2C	POLR2H
TFAP2C	POLR1C
TFAP2C	POLE
TFAP2C	POLD4
TFAP2C	POLD1
TFAP2C	POFUT1
TFAP2C	POC1A
TFAP2C	PNRC1
TFAP2C	PNMT
TFAP2C	PMS2P5
TFAP2C	PMS2P3
TFAP2C	PMS2P1
TFAP2C	PMS2L2
TFAP2C	PMS2
TFAP2C	PMS1
TFAP2C	PMPCA
TFAP2C	PMEL
TFAP2C	PLSCR4
TFAP2C	PLLP
TFAP2C	PLK3
TFAP2C	PLEKHN1
TFAP2C	PLEKHM2
TFAP2C	PLEKHJ1
TFAP2C	PLEKHH3
TFAP2C	PLEKHH1
TFAP2C	PLEKHG5
TFAP2C	PLEKHA8
TFAP2C	PLEKHA4
TFAP2C	PLEKHA3
TFAP2C	PLEKHA2
TFAP2C	PLEKHA1
TFAP2C	PLEC
TFAP2C	PLDN
TFAP2C	PLD1
TFAP2C	PLCL1
TFAP2C	PLCB3
TFAP2C	PLAUR
TFAP2C	PKP3
TFAP2C	PKP2
TFAP2C	PKN3
TFAP2C	PKN2
TFAP2C	PKMYT1
TFAP2C	PKM
TFAP2C	PKD2L2
TFAP2C	PJA2
TFAP2C	PITPNM1
TFAP2C	PISD
TFAP2C	PIP4K2C
TFAP2C	PINK1
TFAP2C	PIM3
TFAP2C	PILRB
TFAP2C	PIK3R3
TFAP2C	PIK3R2
TFAP2C	PIK3C2B
TFAP2C	PIK3AP1
TFAP2C	PIGY
TFAP2C	PIGT
TFAP2C	PIEZO1
TFAP2C	PICALM
TFAP2C	PHYH
TFAP2C	PHTF2
TFAP2C	PHLDB2
TFAP2C	PHLDA3
TFAP2C	PHLDA2
TFAP2C	PHF13
TFAP2C	PHC3
TFAP2C	PHACTR4
TFAP2C	PGM1
TFAP2C	PGAP2
TFAP2C	PFN3
TFAP2C	PFKL
TFAP2C	PFKFB3
TFAP2C	PFKFB2
TFAP2C	PEX2
TFAP2C	PEX16
TFAP2C	PENK
TFAP2C	PEA15
TFAP2C	PDZK1
TFAP2C	PDZD9
TFAP2C	PDZD7
TFAP2C	PDZD11
TFAP2C	PDXDC2P
TFAP2C	PDXDC1
TFAP2C	PDP2
TFAP2C	PDK1
TFAP2C	PDE7A
TFAP2C	PDE4DIP
TFAP2C	PDE4D
TFAP2C	PDCD10
TFAP2C	PCSK1
TFAP2C	PCNT
TFAP2C	PCMTD2
TFAP2C	PCK2
TFAP2C	PCIF1
TFAP2C	PCGF5
TFAP2C	PCDH12
TFAP2C	PCBD2
TFAP2C	PAX2
TFAP2C	PARVA
TFAP2C	PARP9
TFAP2C	PARP16
TFAP2C	PARP1
TFAP2C	PAPPA
TFAP2C	PANK3
TFAP2C	PAICS
TFAP2C	PACSIN2
TFAP2C	PACS2
TFAP2C	PABPC4
TFAP2C	PABPC1
TFAP2C	PAAF1
TFAP2C	P4HTM
TFAP2C	P4HB
TFAP2C	P2RY6
TFAP2C	P2RX6P
TFAP2C	P2RX6
TFAP2C	OTUB1
TFAP2C	OSMR
TFAP2C	OSGIN1
TFAP2C	ORMDL1
TFAP2C	ORC6
TFAP2C	ORC2
TFAP2C	ORAI1
TFAP2C	OPTN
TFAP2C	OLFM1
TFAP2C	OIP5
TFAP2C	OGG1
TFAP2C	ODC1
TFAP2C	OBSL1
TFAP2C	NXF1
TFAP2C	NUPL2
TFAP2C	NUP98
TFAP2C	NUP62
TFAP2C	NUMA1
TFAP2C	NUDT8
TFAP2C	NUCKS1
TFAP2C	NUBP2
TFAP2C	NUAK1
TFAP2C	NTNG2
TFAP2C	NTN3
TFAP2C	NT5DC1
TFAP2C	NSUN2
TFAP2C	NSD1
TFAP2C	NRXN1
TFAP2C	NRP1
TFAP2C	NRG1
TFAP2C	NRBP1
TFAP2C	NR4A2
TFAP2C	NR4A1
TFAP2C	NR3C1
TFAP2C	NR2F6
TFAP2C	NR1H3
TFAP2C	NR1D2
TFAP2C	NR1D1
TFAP2C	NPTN
TFAP2C	NPRL2
TFAP2C	NPHP3-AS1
TFAP2C	NPAS3
TFAP2C	NPAS2
TFAP2C	NOVA2
TFAP2C	NOTCH3
TFAP2C	NOTCH1
TFAP2C	NOG
TFAP2C	NNT
TFAP2C	NMT1
TFAP2C	NMRAL1
TFAP2C	NMNAT1
TFAP2C	NMI
TFAP2C	NME7
TFAP2C	NME6
TFAP2C	NME4
TFAP2C	NLRX1
TFAP2C	NLGN2
TFAP2C	NIPBL
TFAP2C	NIPAL1
TFAP2C	NIPA2
TFAP2C	NINJ1
TFAP2C	NGRN
TFAP2C	NFYC
TFAP2C	NFYA
TFAP2C	NFS1
TFAP2C	NFKBIL1
TFAP2C	NFKBIE
TFAP2C	NFKB2
TFAP2C	NFKB1
TFAP2C	NFIL3
TFAP2C	NFIC
TFAP2C	NFE2L1
TFAP2C	NFE2
TFAP2C	NFATC4
TFAP2C	NEURL1B
TFAP2C	NEURL
TFAP2C	NEU1
TFAP2C	NEK8
TFAP2C	NEK6
TFAP2C	NEK2
TFAP2C	NEIL3
TFAP2C	NEDD8-MDP1
TFAP2C	NEDD8
TFAP2C	NEDD4
TFAP2C	NECAP1
TFAP2C	NECAB3
TFAP2C	NEAT1
TFAP2C	NDUFAF3
TFAP2C	NDE1
TFAP2C	NCS1
TFAP2C	NCKAP1
TFAP2C	NCK1
TFAP2C	NCAPG
TFAP2C	NCAPD3
TFAP2C	NBN
TFAP2C	NASP
TFAP2C	NARF
TFAP2C	NAP1L1
TFAP2C	NAGLU
TFAP2C	NAGK
TFAP2C	NACC2
TFAP2C	NACC1
TFAP2C	NAB1
TFAP2C	NAA60
TFAP2C	NAA25
TFAP2C	N6AMT2
TFAP2C	N4BP2
TFAP2C	MYOF
TFAP2C	MYOD1
TFAP2C	MYO9A
TFAP2C	MYO5A
TFAP2C	MYO10
TFAP2C	MYLK-AS1
TFAP2C	MYLIP
TFAP2C	MYL6B
TFAP2C	MYH7B
TFAP2C	MYF6
TFAP2C	MYCBP2
TFAP2C	MXD4
TFAP2C	MXD3
TFAP2C	MVP
TFAP2C	MUC2
TFAP2C	MUC1
TFAP2C	MTSS1L
TFAP2C	MTR
TFAP2C	MTMR9LP
TFAP2C	MTMR9
TFAP2C	MTMR4
TFAP2C	MTMR2
TFAP2C	MTMR12
TFAP2C	MTIF3
TFAP2C	MTHFS
TFAP2C	MTG1
TFAP2C	MT2A
TFAP2C	MSX1
TFAP2C	MST4
TFAP2C	MSMP
TFAP2C	MSLN
TFAP2C	MSL3
TFAP2C	MSH6
TFAP2C	MSH5-SAPCD1
TFAP2C	MSH5
TFAP2C	MSH3
TFAP2C	MSANTD2
TFAP2C	MRVI1
TFAP2C	MRPS30
TFAP2C	MRPS18C
TFAP2C	MRPS14
TFAP2C	MRPS12
TFAP2C	MRPL48
TFAP2C	MRPL45P2
TFAP2C	MRPL45
TFAP2C	MRPL38
TFAP2C	MRPL36
TFAP2C	MPLKIP
TFAP2C	MPI
TFAP2C	MPG
TFAP2C	MOXD1
TFAP2C	MORF4L1
TFAP2C	MOCS2
TFAP2C	MOB3C
TFAP2C	MNX1
TFAP2C	MNT
TFAP2C	MMRN2
TFAP2C	MMP11
TFAP2C	MMAA
TFAP2C	MLLT6
TFAP2C	MLLT4-AS1
TFAP2C	MLL
TFAP2C	MKNK1
TFAP2C	MIRLET7I
TFAP2C	MIR937
TFAP2C	MIR933
TFAP2C	MIR92B
TFAP2C	MIR675
TFAP2C	MIR661
TFAP2C	MIR550B1
TFAP2C	MIR550A2
TFAP2C	MIR550A1
TFAP2C	MIR548AO
TFAP2C	MIR548AD
TFAP2C	MIR5187
TFAP2C	MIR484
TFAP2C	MIR4801
TFAP2C	MIR4787
TFAP2C	MIR4785
TFAP2C	MIR4757
TFAP2C	MIR4751
TFAP2C	MIR4710
TFAP2C	MIR4674
TFAP2C	MIR4669
TFAP2C	MIR4667
TFAP2C	MIR4641
TFAP2C	MIR4638
TFAP2C	MIR4534
TFAP2C	MIR4520B
TFAP2C	MIR4519
TFAP2C	MIR4515
TFAP2C	MIR4505
TFAP2C	MIR4500HG
TFAP2C	MIR4492
TFAP2C	MIR4479
TFAP2C	MIR4470
TFAP2C	MIR4444-1
TFAP2C	MIR4435-2
TFAP2C	MIR4435-1
TFAP2C	MIR4434
TFAP2C	MIR4289
TFAP2C	MIR4257
TFAP2C	MIR425
TFAP2C	MIR3960
TFAP2C	MIR3935
TFAP2C	MIR3663
TFAP2C	MIR3656
TFAP2C	MIR3650
TFAP2C	MIR330
TFAP2C	MIR3196
TFAP2C	MIR3194
TFAP2C	MIR3190
TFAP2C	MIR3175
TFAP2C	MIR3158-1
TFAP2C	MIR3153
TFAP2C	MIR30A
TFAP2C	MIR301A
TFAP2C	MIR2861
TFAP2C	MIR27A
TFAP2C	MIR24-2
TFAP2C	MIR23A
TFAP2C	MIR22HG
TFAP2C	MIR2277
TFAP2C	MIR22
TFAP2C	MIR200C
TFAP2C	MIR196B
TFAP2C	MIR191
TFAP2C	MIR1908
TFAP2C	MIR17HG
TFAP2C	MIR141
TFAP2C	MIR1281
TFAP2C	MIR1260B
TFAP2C	MIR1258
TFAP2C	MIR1250
TFAP2C	MIR1227
TFAP2C	MIR1224
TFAP2C	MINOS1
TFAP2C	MIMT1
TFAP2C	MIF4GD
TFAP2C	MID1IP1
TFAP2C	MICB
TFAP2C	MICAL3
TFAP2C	MICA
TFAP2C	MIB1
TFAP2C	MGST3
TFAP2C	MGC16703
TFAP2C	MFSD12
TFAP2C	MFI2-AS1
TFAP2C	MFAP4
TFAP2C	MFAP1
TFAP2C	METTL8
TFAP2C	METTL6
TFAP2C	METAP2
TFAP2C	MET
TFAP2C	MEST
TFAP2C	MEN1
TFAP2C	MELK
TFAP2C	MEF2D
TFAP2C	MEF2A
TFAP2C	MED31
TFAP2C	MED26
TFAP2C	MED16
TFAP2C	MED11
TFAP2C	MEAF6
TFAP2C	ME1
TFAP2C	MCTP1
TFAP2C	MCOLN1
TFAP2C	MCM3AP-AS1
TFAP2C	MCM3
TFAP2C	MCM2
TFAP2C	MCFD2
TFAP2C	MC1R
TFAP2C	MBD2
TFAP2C	MBD1
TFAP2C	MB
TFAP2C	MAZ
TFAP2C	MATR3
TFAP2C	MAT2B
TFAP2C	MAST1
TFAP2C	MARVELD2
TFAP2C	MARVELD1
TFAP2C	MARK1
TFAP2C	MARCKSL1
TFAP2C	5-Mar
TFAP2C	MAPRE2
TFAP2C	MAPKBP1
TFAP2C	MAPK9
TFAP2C	MAPK8IP3
TFAP2C	MAPK6
TFAP2C	MAPK1IP1L
TFAP2C	MAP3K8
TFAP2C	MAP3K5
TFAP2C	MAP3K3
TFAP2C	MAP3K14
TFAP2C	MAP3K11
TFAP2C	MANEA
TFAP2C	MAN2A2
TFAP2C	MAN1B1
TFAP2C	MAML1
TFAP2C	MALT1
TFAP2C	MALAT1
TFAP2C	MAGIX
TFAP2C	MAGI3
TFAP2C	MAFA
TFAP2C	MADD
TFAP2C	MAD2L2
TFAP2C	M6PR
TFAP2C	LZIC
TFAP2C	LYPD3
TFAP2C	LYN
TFAP2C	LY6K
TFAP2C	LY6E
TFAP2C	LUC7L2
TFAP2C	LTBR
TFAP2C	LSS
TFAP2C	LSR
TFAP2C	LSM14A
TFAP2C	LRTOMT
TFAP2C	LRSAM1
TFAP2C	LRRC41
TFAP2C	LRRC20
TFAP2C	LRP5
TFAP2C	LRIG2
TFAP2C	LPP
TFAP2C	LPIN2
TFAP2C	LPCAT4
TFAP2C	LOXL4
TFAP2C	LOXL2
TFAP2C	LONP1
TFAP2C	LOC91450
TFAP2C	LOC80054
TFAP2C	LOC731223
TFAP2C	LOC730668
TFAP2C	LOC729013
TFAP2C	LOC728855
TFAP2C	LOC728431
TFAP2C	LOC647323
TFAP2C	LOC646903
TFAP2C	LOC645212
TFAP2C	LOC644656
TFAP2C	LOC641298
TFAP2C	LOC595101
TFAP2C	LOC441009
TFAP2C	LOC440335
TFAP2C	LOC439990
TFAP2C	LOC401093
TFAP2C	LOC400891
TFAP2C	LOC400684
TFAP2C	LOC400236
TFAP2C	LOC389791
TFAP2C	LOC389765
TFAP2C	LOC389247
TFAP2C	LOC388906
TFAP2C	LOC344967
TFAP2C	LOC344595
TFAP2C	LOC340073
TFAP2C	LOC340037
TFAP2C	LOC339290
TFAP2C	LOC338799
TFAP2C	LOC286190
TFAP2C	LOC285965
TFAP2C	LOC285847
TFAP2C	LOC284454
TFAP2C	LOC283403
TFAP2C	LOC283050
TFAP2C	LOC257396
TFAP2C	LOC254100
TFAP2C	LOC253039
TFAP2C	LOC219731
TFAP2C	LOC158572
TFAP2C	LOC153684
TFAP2C	LOC152217
TFAP2C	LOC150197
TFAP2C	LOC146336
TFAP2C	LOC144571
TFAP2C	LOC100508120
TFAP2C	LOC100507547
TFAP2C	LOC100507462
TFAP2C	LOC100507401
TFAP2C	LOC100507373
TFAP2C	LOC100507217
TFAP2C	LOC100507127
TFAP2C	LOC100506834
TFAP2C	LOC100506713
TFAP2C	LOC100506451
TFAP2C	LOC100506233
TFAP2C	LOC100506207
TFAP2C	LOC100506190
TFAP2C	LOC100506178
TFAP2C	LOC100506082
TFAP2C	LOC100506068
TFAP2C	LOC100505681
TFAP2C	LOC100505678
TFAP2C	LOC100505648
TFAP2C	LOC100302401
TFAP2C	LOC100294145
TFAP2C	LOC100289341
TFAP2C	LOC100288181
TFAP2C	LOC100287944
TFAP2C	LOC100287314
TFAP2C	LOC100287177
TFAP2C	LOC100286844
TFAP2C	LOC100271836
TFAP2C	LOC100133669
TFAP2C	LOC100131691
TFAP2C	LOC100131551
TFAP2C	LOC100130855
TFAP2C	LOC100130557
TFAP2C	LOC100129726
TFAP2C	LOC100129387
TFAP2C	LOC100128292
TFAP2C	LOC100128071
TFAP2C	LOC100009676
TFAP2C	LNX2
TFAP2C	LMNB1
TFAP2C	LMNA
TFAP2C	LLGL2
TFAP2C	LITAF
TFAP2C	LIPT2
TFAP2C	LINC00499
TFAP2C	LINC00482
TFAP2C	LINC00479
TFAP2C	LINC00473
TFAP2C	LINC00466
TFAP2C	LINC00313
TFAP2C	LINC00277
TFAP2C	LINC00265
TFAP2C	LINC00112
TFAP2C	LINC00111
TFAP2C	LIMK2
TFAP2C	LIMK1
TFAP2C	LIMD2
TFAP2C	LIFR
TFAP2C	LHX4
TFAP2C	LHX3
TFAP2C	LHX1
TFAP2C	LGR6
TFAP2C	LGR4
TFAP2C	LGI3
TFAP2C	LGALS3
TFAP2C	LETM2
TFAP2C	LEPROTL1
TFAP2C	LEO1
TFAP2C	LENG9
TFAP2C	LENG8
TFAP2C	LCNL1
TFAP2C	LCAT
TFAP2C	LASP1
TFAP2C	LARS2
TFAP2C	LARP1B
TFAP2C	LAMTOR2
TFAP2C	LAMP1
TFAP2C	LAMB2
TFAP2C	LAMA5
TFAP2C	LAMA3
TFAP2C	L2HGDH
TFAP2C	KYNU
TFAP2C	KTN1
TFAP2C	KSR2
TFAP2C	KRT8
TFAP2C	KRT7
TFAP2C	KRT5
TFAP2C	KRT18
TFAP2C	KRT15
TFAP2C	KPNA1
TFAP2C	KLLN
TFAP2C	KLHL26
TFAP2C	KLHL24
TFAP2C	KLHL23
TFAP2C	KLHL20
TFAP2C	KLHL11
TFAP2C	KLF13
TFAP2C	KLF12
TFAP2C	KLC2
TFAP2C	KITLG
TFAP2C	KIFC3
TFAP2C	KIFC2
TFAP2C	KIF4A
TFAP2C	KIF3C
TFAP2C	KIF2A
TFAP2C	KIF21A
TFAP2C	KIF1C
TFAP2C	KIF18A
TFAP2C	KIDINS220
TFAP2C	KIAA1731
TFAP2C	KIAA1683
TFAP2C	KIAA1598
TFAP2C	KIAA1279
TFAP2C	KIAA0947
TFAP2C	KIAA0895
TFAP2C	KIAA0754
TFAP2C	KIAA0355
TFAP2C	KIAA0182
TFAP2C	KIAA0146
TFAP2C	KIAA0100
TFAP2C	KIAA0040
TFAP2C	KHSRP
TFAP2C	KHDC1
TFAP2C	KEAP1
TFAP2C	KDM8
TFAP2C	KDM4A
TFAP2C	KDM3B
TFAP2C	KDM1A
TFAP2C	KDELC1
TFAP2C	KCTD19
