TF	Gene
YY1	DCAKD
YY1	CYB5D2
YY1	CTF1
YY1	CTDSP1
YY1	CTCF
YY1	CSNK2A1
YY1	CSAD
YY1	CRAT
YY1	CNPY4
YY1	CNOT3
YY1	CNOT2
YY1	CMTM3
YY1	CHD3
YY1	CHCHD10
YY1	CGREF1
YY1	CEP135
YY1	CELSR3
YY1	CDC34
YY1	CCT6B
YY1	CCDC96
YY1	CCDC151
YY1	CATSPERG
YY1	CAPZA1
YY1	C9orf163
YY1	C17orf56
YY1	C16orf93
YY1	C16orf72
YY1	C15orf37
YY1	C12orf61
YY1	C11orf30
YY1	C10orf118
YY1	BTF3
YY1	BSCL2
YY1	BRD3
YY1	BRAF
YY1	BOP1
YY1	B3GALT6
YY1	ATP5G2
YY1	ATP5G1
YY1	ATP5F1
YY1	ASB2
YY1	ARV1
YY1	ARCN1
YY1	APOA2
YY1	APIP
YY1	AP3D1
YY1	ALOXE3
YY1	ALG12
YY1	AKT1S1
YY1	AKIRIN2
YY1	AKAP3
YY1	ADAMTS4
YY1	ACTRT3
YY1	ACTR8
YY1	ACTR3
YY1	ACADVL
USF1	ZPBP2
USF1	ZNF503
USF1	ZMYND12
USF1	ZFYVE26
USF1	ZFP91-CNTF
USF1	ZFP91
USF1	ZFP36L2
USF1	ZCCHC7
USF1	ZBTB24
USF1	YIPF2
USF1	WNT10A
USF1	WDR81
USF1	WDR65
USF1	VWA2
USF1	VPS37B
USF1	VPS33A
USF1	VPS26A
USF1	VPS16
USF1	VPS11
USF1	VAPA
USF1	VAC14
USF1	UTP20
USF1	UTP18
USF1	USP9X
USF1	UBE2B
USF1	UBA1
USF1	TXNDC5
USF1	TTLL6
USF1	TSPAN4
USF1	TSC1
USF1	TRPM7
USF1	TRMT2A
USF1	TRIM37
USF1	TRIM25
USF1	TOM1L2
USF1	TOM1
USF1	TNXB
USF1	TNXA
USF1	TMEM91
USF1	TMEM8C
USF1	TMEM171
USF1	TMED10
USF1	TGFB2
USF1	TET2
USF1	TEF
USF1	TCN2
USF1	TBKBP1
USF1	TBC1D5
USF1	TAF6L
USF1	SYT5
USF1	SYNRG
USF1	SYNCRIP
USF1	SUMF1
USF1	STT3B
USF1	STMN1
USF1	STK19
USF1	STK16
USF1	SRM
USF1	SREK1
USF1	SQSTM1
USF1	SPRYD4
USF1	SPAG7
USF1	SOX11
USF1	SOS1
USF1	SOCS5
USF1	SNX8
USF1	SNORD86
USF1	SNORD82
USF1	SNORD57
USF1	SNORD56
USF1	SNORD110
USF1	SNORA51
USF1	SNORA21
USF1	SNAI1
USF1	SLC7A5
USF1	SLC4A2
USF1	SLC39A8
USF1	SLC39A14
USF1	SLC38A9
USF1	SLC36A1
USF1	SLC33A1
USF1	SLC25A51
USF1	SLC25A46
USF1	SLC25A44
USF1	SLC25A39
USF1	SLC25A32
USF1	SLC20A1
USF1	SLC1A5
USF1	SLC19A1
USF1	SLC16A13
USF1	SLC16A1
USF1	SLC12A6
USF1	SIRT2
USF1	SIRT1
USF1	SHC2
USF1	SGTB
USF1	SFXN2
USF1	SET
USF1	SERPINE2
USF1	SERPINE1
USF1	3-Sep
USF1	SEMA4B
USF1	SELRC1
USF1	SEC24A
USF1	SEC1
USF1	SCYL1
USF1	SATB2
USF1	SASH3
USF1	RUSC1
USF1	RUFY3
USF1	RPL23
USF1	RPIA
USF1	RORC
USF1	RNLS
USF1	RNF146
USF1	RNF128
USF1	RNASEK-C17ORF49
USF1	RNASEK
USF1	RMND1
USF1	RLF
USF1	RHEBL1
USF1	RGL1
USF1	RDH5
USF1	RCOR2
USF1	RBM18
USF1	RBM15B
USF1	RBBP6
USF1	RASSF1
USF1	RASAL3
USF1	RARG
USF1	RAPGEF3
USF1	RALGDS
USF1	RAI14
USF1	RABEP1
USF1	RAB21
USF1	PURA
USF1	PTPRS
USF1	PTPDC1
USF1	PTGES2
USF1	PTCH1
USF1	PSMB10
USF1	PRRT2
USF1	PRR7
USF1	PRMT1
USF1	PRELID1
USF1	PRDX4
USF1	PPRC1
USF1	PPFIBP2
USF1	PPAT
USF1	PLEKHA6
USF1	PLBD2
USF1	PLA2G4A
USF1	PKN1
USF1	PKLR
USF1	PKD1P1
USF1	PIP4K2C
USF1	PIGP
USF1	PICALM
USF1	PIAS4
USF1	PI4KA
USF1	PHF20
USF1	PFN1
USF1	PER1
USF1	PECR
USF1	PDX1
USF1	PDK2
USF1	PDE4A
USF1	PCP2
USF1	PCID2
USF1	PBRM1
USF1	PANK3
USF1	PAK1IP1
USF1	OSBPL8
USF1	ORAI2
USF1	OGDHL
USF1	NSD1
USF1	NRIP3
USF1	NRAS
USF1	NR5A1
USF1	NPTN
USF1	NPM1
USF1	NOTCH3
USF1	NOP56
USF1	NNT
USF1	NME2
USF1	NIT1
USF1	NHLRC1
USF1	NDUFS1
USF1	NDUFC1
USF1	NDUFAF4
USF1	NCL
USF1	NADK
USF1	NAA50
USF1	MYL12A
USF1	MXD4
USF1	MTHFR
USF1	MTHFD1L
USF1	MSN
USF1	MSI2
USF1	MRPS2
USF1	MRPL40
USF1	MRPL27
USF1	MORC2
USF1	MON1A
USF1	MLLT1
USF1	MKLN1
USF1	MIRLET7I
USF1	MIR762
USF1	MIR5088
USF1	MIR5008
USF1	MIR4797
USF1	MIR3917
USF1	MIR3618
USF1	MIR320A
USF1	MIR18B
USF1	MIR143HG
USF1	MIR142
USF1	MIR1306
USF1	MIR1292
USF1	MIR106A
USF1	MFSD5
USF1	MFSD11
USF1	MFHAS1
USF1	MEGF8
USF1	MCOLN1
USF1	MCM8
USF1	MC1R
USF1	MAT2A
USF1	MAPRE1
USF1	MAPKAPK3
USF1	MAGI2-AS3
USF1	MAFG-AS1
USF1	LZTS2
USF1	LZTFL1
USF1	LYPD1
USF1	LYL1
USF1	LYAR
USF1	LTBP4
USF1	LRP3
USF1	LRIG3
USF1	LONRF3
USF1	LOC648809
USF1	LOC641518
USF1	LOC400043
USF1	LOC284023
USF1	LOC100506713
USF1	LOC100506710
USF1	LOC100505681
USF1	LOC100505676
USF1	LOC100293534
USF1	LIPC
USF1	LIN54
USF1	LIN28A
USF1	LETM2
USF1	LAP3
USF1	KLF9
USF1	KLF6
USF1	KLF4
USF1	KIF26B
USF1	KIAA2013
USF1	KIAA1715
USF1	KIAA0895
USF1	KIAA0664
USF1	KHDRBS1
USF1	KDM4C
USF1	KDM3A
USF1	KCNH4
USF1	KANSL1L
USF1	KANSL1-AS1
USF1	KANSL1
USF1	ISG20
USF1	IRF9
USF1	IQCG
USF1	IPO4
USF1	IPO13
USF1	IP6K1
USF1	INF2
USF1	ILF3
USF1	IL34
USF1	IL3
USF1	IGSF9
USF1	IGF2R
USF1	HSPBAP1
USF1	HSPA8
USF1	HOXD9
USF1	HOXD-AS1
USF1	HOXC9
USF1	HOXC13
USF1	HOXB7
USF1	HOXB4
USF1	HOXA5
USF1	HOXA1
USF1	HOXA-AS4
USF1	HOTAIR
USF1	HNRNPF
USF1	HN1L
USF1	HMOX1
USF1	HMHA1
USF1	HES6
USF1	HES1
USF1	GTF2I
USF1	GTF2H1
USF1	GPM6B
USF1	GPC2
USF1	GOLIM4
USF1	GNS
USF1	GLYR1
USF1	GGN
USF1	GCLC
USF1	GAPDH
USF1	G6PC3
USF1	FSHR
USF1	FOXP1
USF1	FOXD3
USF1	FMR1
USF1	FLJ43663
USF1	FLJ42351
USF1	FFAR2
USF1	FES
USF1	FCHSD2
USF1	FBXO44
USF1	FASTK
USF1	FASN
USF1	FAM3C
USF1	FAM184B
USF1	FAM179B
USF1	FAM154B
USF1	FAM125B
USF1	FAM118B
USF1	FAM116A
USF1	FAM113A
USF1	ESRP2
USF1	EIF4G1
USF1	EIF4E
USF1	EIF3K
USF1	EGLN2
USF1	EEF2
USF1	EEF1E1-MUTED
USF1	EEF1E1
USF1	DYM
USF1	DVL2
USF1	DUSP7
USF1	DOHH
USF1	DNASE2
USF1	DNAJC8
USF1	DNAJB9
USF1	DLX2
USF1	DLG1
USF1	DLEU7
USF1	DIRC2
USF1	DIABLO
USF1	DENND2D
USF1	DDX3X
USF1	DCTPP1
USF1	DCAF17
USF1	CXorf56
USF1	CUTA
USF1	CTSF
USF1	CTSD
USF1	CTSB
USF1	CTSA
USF1	CTF1
USF1	CTBP2
USF1	CPEB4
USF1	CPEB1
USF1	COPS7A
USF1	COMTD1
USF1	CNPY2
USF1	CNNM2
USF1	CLCN5
USF1	CHTF8
USF1	CHRM1
USF1	CEBPA
USF1	CEACAM6
USF1	CDKL3
USF1	CDK5
USF1	CD3EAP
USF1	CD164
USF1	CCNYL1
USF1	CCND2
USF1	CCND1
USF1	CCNB1
USF1	CCDC47
USF1	CC2D1B
USF1	CBX5
USF1	CASP9
USF1	CAMK2D
USF1	CALR
USF1	CAD
USF1	C9orf85
USF1	C4B
USF1	C2CD4A
USF1	C1orf51
USF1	C1orf43
USF1	C19orf47
USF1	C19orf40
USF1	C19orf26
USF1	C17orf49
USF1	C17orf102
USF1	C16orf72
USF1	C12orf32
USF1	BZRAP1
USF1	BTF3L4
USF1	BRCA2
USF1	BNIP3L
USF1	BLOC1S1-RDH5
USF1	BLOC1S1
USF1	BEND3
USF1	BCL7C
USF1	BCAS3
USF1	B3GNT9
USF1	ATXN3
USF1	ATOH8
USF1	ATG3
USF1	ATF7IP
USF1	ATAD3B
USF1	ASS1
USF1	ASPHD1
USF1	ARSG
USF1	ARMC6
USF1	ARL3
USF1	ARHGEF3
USF1	ARHGEF10
USF1	ARFGEF2
USF1	AQP5
USF1	APEX1
USF1	APC
USF1	AP1S2
USF1	ANXA6
USF1	ANKRD12
USF1	AMPD3
USF1	AMPD2
USF1	AMN
USF1	AMMECR1
USF1	ALDH6A1
USF1	AKT1S1
USF1	AKAP1
USF1	AK4
USF1	AIMP2
USF1	AGTRAP
USF1	ADRA2B
USF1	ADNP2
USF1	ADCY3
USF1	ADAM10
USF1	ACY1
USF1	ACACA
USF1	ABCB6
USF1	AATF
TP53	ZMAT3
TP53	TP53I3
TP53	TNFRSF10B
TP53	THBS1
TP53	TBXAS1
TP53	SFN
TP53	SESN2
TP53	SESN1
TP53	SERPINB5
TP53	RRM2B
TP53	PTEN
TP53	PRG3
TP53	PERP
TP53	NFATC4
TP53	MAP4
TP53	JAK2
TP53	IGFBP3
TP53	IGF2
TP53	HRAS
TP53	HIPK1
TP53	HIC1
TP53	GADD45A
TP53	FAS
TP53	ETS2
TP53	DDIT4
TP53	DDB2
TP53	CD82
TP53	CAV1
TP53	BTG2
TP53	BAI1
TP53	APAF1
TFAP2C	ZSWIM6
TFAP2C	ZNFX1
TFAP2C	ZNF653
TFAP2C	ZNF593
TFAP2C	ZDHHC2
TFAP2C	TRIM8
TFAP2C	TPGS1
TFAP2C	TNPO1
TFAP2C	TEAD2
TFAP2C	TBCC
TFAP2C	SYT7
TFAP2C	SUMO2
TFAP2C	SMEK1
TFAP2C	SMAD7
TFAP2C	SKIL
TFAP2C	SERTAD3
TFAP2C	SCAF1
TFAP2C	RTBDN
TFAP2C	RNPEP
TFAP2C	RNF19B
TFAP2C	RBPJ
TFAP2C	PTCHD2
TFAP2C	PPP1R14B
TFAP2C	POU2F1
TFAP2C	PLAGL2
TFAP2C	PIP4K2B
TFAP2C	PHF15
TFAP2C	PHF1
TFAP2C	PDE8A
TFAP2C	PBX3
TFAP2C	MYO1C
TFAP2C	MUS81
TFAP2C	MIR92A1
TFAP2C	MIR20A
TFAP2C	MIR19B1
TFAP2C	MIR19A
TFAP2C	MIR18A
TFAP2C	MIR17
TFAP2C	MIOS
TFAP2C	MIDN
TFAP2C	MEIS2
TFAP2C	MARK3
TFAP2C	LSM1
TFAP2C	LHX2
TFAP2C	KDM2A
TFAP2C	ING2
TFAP2C	HOXA9
TFAP2C	GPRC5C
TFAP2C	GPR137
TFAP2C	GON4L
TFAP2C	GDPGP1
TFAP2C	GATA2
TFAP2C	FMNL1
TFAP2C	FAM53B
TFAP2C	ESR1
TFAP2C	EPB41L1
TFAP2C	EID2
TFAP2C	DKKL1
TFAP2C	CREB3
TFAP2C	CLIP1
TFAP2C	BRF1
TFAP2C	BNIP2
TFAP2C	BCL3
TFAP2C	BAG6
TFAP2C	ATF3
TFAP2C	ACAP2
TFAP2C	AATK
TFAP2A	ZSWIM6
TFAP2A	ZNFX1
TFAP2A	ZNF653
TFAP2A	ZDHHC2
TFAP2A	ZDHHC14
TFAP2A	WDFY2
TFAP2A	VEGFB
TFAP2A	UST
TFAP2A	ULK2
TFAP2A	UBE2Q1
TFAP2A	TUBG2
TFAP2A	TRIM8
TFAP2A	TPGS1
TFAP2A	TMEM200B
TFAP2A	TGFA
TFAP2A	TERF2
TFAP2A	TBCC
TFAP2A	SYT7
TFAP2A	SUMO2
TFAP2A	STAU1
TFAP2A	SRGAP1
TFAP2A	SPHK1
TFAP2A	SOS1
TFAP2A	SNORA74A
TFAP2A	SNHG4
TFAP2A	SMPD1
TFAP2A	SMEK1
TFAP2A	SMAD7
TFAP2A	SKIL
TFAP2A	SHMT2
TFAP2A	SGK3
TFAP2A	SERTAD3
TFAP2A	SERPINE1
TFAP2A	SDC4
TFAP2A	SCAND1
TFAP2A	SCAF1
TFAP2A	RRAS
TFAP2A	RNPEP
TFAP2A	RNF19B
TFAP2A	RECQL4
TFAP2A	PTGS2
TFAP2A	PTGDS
TFAP2A	PTCHD2
TFAP2A	PRNP
TFAP2A	PRICKLE4
TFAP2A	PPL
TFAP2A	POLD1
TFAP2A	PLK3
TFAP2A	PLEKHN1
TFAP2A	PLAGL2
TFAP2A	PIP4K2B
TFAP2A	PHF15
TFAP2A	PHF1
TFAP2A	PFKFB3
TFAP2A	PEX3
TFAP2A	PENK
TFAP2A	PDHA1
TFAP2A	PBX3
TFAP2A	PARP1
TFAP2A	PA2G4
TFAP2A	ODC1
TFAP2A	NR3C1
TFAP2A	NQO1
TFAP2A	NF1
TFAP2A	MYO1C
TFAP2A	MUS81
TFAP2A	MTRR
TFAP2A	MTHFR
TFAP2A	MPG
TFAP2A	MORF4L1
TFAP2A	MLL
TFAP2A	MIR92A1
TFAP2A	MIR3650
TFAP2A	MIR20A
TFAP2A	MIR19B1
TFAP2A	MIR19A
TFAP2A	MIR18A
TFAP2A	MIR17
TFAP2A	MIR1281
TFAP2A	MIOS
TFAP2A	MIDN
TFAP2A	MEIS2
TFAP2A	MATR3
TFAP2A	MARK3
TFAP2A	MARK1
TFAP2A	MAPT
TFAP2A	MAGI3
TFAP2A	LSM1
TFAP2A	LPP
TFAP2A	LOC100507401
TFAP2A	LOC100131691
